agak	agak
agk	agak
aj	saja
aja	saja
ajaa	saja
ajg	anjing
ajh	saja
ak	aku
aktifitas	aktivitas
aku	saya
ama	sama
aman	aman
amanah	terpercaya
amann	aman
amat	sangat
ampas	buruk
ampe	sampai
analisa	analisis
ancur	hancur
ancurr	hancur
ane	saya
anj	anjing
anjg	anjing
anjay	anjing
anjayyy	anjing
anjir	anjing
anjirr	anjing
anjirrr	anjing
anjrit	anjing
anjrot	anjing
antri	antre
ap	apa
apaan	apa
apaansih	kenapa
apkh	apakah
apotek	apotek
apotik	apotek
aq	aku
aturan	peraturan
awkwkwk	tertawa
awokawok	tertawa
awokwok	tertawa
baguss	bagus
bagusss	bagus
bahaya	berbahaya
bahayaa	berbahaya
bangat	banget
bangett	banget
bangettt	banget
bangke	kasar
bangkee	kasar
bangsat	kasar
bat	banget
bateraii	baterai
bateray	baterai
batere	baterai
baterei	baterai
batre	baterai
battery	baterai
bbm	bahan bakar minyak
bbrp	beberapa
begt	begitu
belom	belum
belumm	belum
benar-benar	sangat
bener	benar
bener-bener	sangat
beneran	benar
bensin	bahan bakar minyak
bermasalah	bermasalah
besok	besok
best	terbaik
bet	banget
bev	kendaraan listrik baterai
bgaimana	bagaimana
begimana	bagaimana
bgimana	bagaimana
bgini	begini
bgmn	bagaimana
bgs	bagus
bgsd	bangsat
bgst	bangsat
bgt	banget
bgtt	banget
bgtu	begitu
bgus	bagus
biasaaja	biasa saja
bkn	bukan
bknn	bukan
blm	belum
blom	belum
bngst	kasar
bngt	banget
bngtt	banget
bnr	benar
bnrn	benar
bnyk	banyak
brarti	berarti
brp	berapa
brrti	berarti
bs	bisa
bsk	besok
btw	by the way
buat	untuk
bug	kesalahan
bukanlah	bukan
bukn	bukan
burukk	buruk
cakep	bagus
canggihh	canggih
canggihhh	canggih
cas	isi daya
casan	pengisi daya
cashback	uang kembali
charge	isi daya
charger	pengisi daya
charging	pengisian daya
chas	isi daya
cicilan	angsuran
cmn	hanya
cmnt	komentar
comment	komentar
coz	karena
credit	kredit
cuan	untung
cuma	hanya
cuman	hanya
cz	karena
dah	sudah
deh	dah
denger	dengar
dg	dengan
dgn	dengan
dimana	di mana
diskon	diskon
dl	dahulu
dlam	dalam
dll	dan lain lain
dlm	dalam
dlu	dahulu
dng	dengan
doang	saja
doank	saja
doi	dia
dongg	dong
dp	uang muka
dpt	dapat
dr	dari
dri	dari
dy	dia
e-vehicle	kendaraan listrik
efektifitas	efektivitas
electric vehicle	kendaraan listrik
electricvehicle	kendaraan listrik
elo	kamu
elu	kamu
emag	emang
emg	emang
emission	emisi
entar	nanti
eror	kesalahan
error	kesalahan
ev	kendaraan listrik
fail	gagal
fake	palsu
fast charging	pengisian daya cepat
fastcharging	pengisian daya cepat
fyp	halaman rekomendasi
g	tidak
ga	tidak
gaa	tidak
gaak	tidak
gabisa	tidak bisa
gada	tidak ada
